Full speed origin (file_time: 0);requests;bytes;avg Mbps;requests;bytes;avg Mbps;Avg byte wait time;Avg time to first byte
1 - Vanilla nginx;172;5410652160;1426.516325;5707;179526696960;47329.507393;0.309029;0.088692
2 - Vanilla nginx with cache lock;55;1730150400;455.700677;5181;162980167680;42925.050149;0.341204;0.101276
3 - Patched nginx with cache lock;56;1761607680;464.745580;5141;161721876480;42662.652999;0.341948;0.101034
4 - Patched nginx with cache tempfiles;60;1887436800;499.122959;5198;163510173227;43237.525087;0.332965;0.092604
Slow speed origin (file_time: 1);requests;bytes;avg Mbps;requests;bytes;avg Mbps;Avg byte wait time;Avg time to first byte
1 - Vanilla nginx;917;28846325760;7405.898268;2020;63543705600;16312.783564;0.862825;0.106074
2 - Vanilla nginx with cache lock;30;943718400;242.764299;2929;92138373120;23700.893748;0.973287;0.899758
3 - Patched nginx with cache lock;30;943718400;243.030166;2948;92736061440;23880.685095;0.973206;0.901778
4 - Patched nginx with cache tempfiles;30;943718400;245.288326;3000;94371833907;24527.747077;0.500103;0.015993
Slow speed origin (file_time: 1);requests;bytes;avg Mbps;requests;bytes;avg Mbps;Avg byte wait time;Avg time to first byte
1 - Vanilla nginx;915;28783411200;7026.243332;946;29758586880;7263.739309;1.646294;0.190467
2 - Vanilla nginx with cache lock;10;314572800;81.297371;1000;31457280000;8129.400475;3.004011;2.919655
3 - Patched nginx with cache lock;10;314572800;81.137535;1000;31457280000;8113.450938;2.988149;2.887156
4 - Patched nginx with cache tempfiles;10;314572800;82.635384;1000;31457280000;8262.876890;1.490930;0.021100
